Name,amount_infrastructure,latitude,longitude,infra_norm
метро Бульвар Дмитрия Донского Москва,4,55.5699618,37.5768957,0.05405405405405406
метро Шипиловская Москва,0,55.6220206,37.7420891,0.0
метро Полянка Москва,20,55.7358206,37.6193924,0.2702702702702703
метро Крылатское Москва,5,55.7561666,37.4088809,0.06756756756756757
метро Сходненская Москва,15,55.8517877,37.4390502,0.20270270270270271
метро Юго-Западная Москва,12,55.6633159,37.4840815,0.16216216216216217
метро Шоссе Энтузиастов Москва,11,55.7564669,37.7518803,0.14864864864864866
метро Китай-город Москва,26,55.7531706,37.6325574,0.35135135135135137
метро Щукинская Москва,7,55.8092795,37.463365,0.0945945945945946
метро Лесопарковая Москва,3,55.5817818,37.578514,0.04054054054054054
метро Новогиреево Москва,6,55.7514646,37.8146182,0.08108108108108109
метро Минская Москва,2,55.7239424,37.4977723,0.02702702702702703
метро Пражская Москва,9,55.6095865,37.6080761,0.12162162162162163
метро Аэропорт Москва,22,55.8008066,37.5293913,0.2972972972972973
метро Проспект Мира Москва,25,55.7804065,37.6343838,0.33783783783783783
метро Марьина Роща Москва,15,55.7934809,37.6143491,0.20270270270270271
метро Нахимовский проспект Москва,1,55.6639027,37.6081679,0.013513513513513514
метро Алма-Атинская Москва,0,55.633668,37.7631828,0.0
метро Цветной бульвар Москва,47,55.7706419,37.6223598,0.6351351351351351
метро Окружная Москва,12,55.8469059,37.5720982,0.16216216216216217
метро Добрынинская Москва,28,55.7284715,37.6231945,0.3783783783783784
метро Технопарк Москва,10,55.6941633,37.6659833,0.13513513513513514
метро Серпуховская Москва,17,55.7252008,37.6225358,0.22972972972972974
метро Каширская Москва,4,55.6558054,37.6477703,0.05405405405405406
метро Жулебино Москва,7,55.6839174,37.8538414,0.0945945945945946
метро Селигерская Москва,7,55.8671929,37.5461492,0.0945945945945946
метро Юго-Восточная Москва,0,55.7048724,37.8187366,0.0
метро Солнцево Москва,3,55.649092,37.3903237,0.04054054054054054
метро Пятницкое шоссе Москва,0,55.8572638,37.3526924,0.0
метро Улица Скобелевская Москва,6,55.5474446,37.5523758,0.08108108108108109
метро Воробьёвы горы Москва,2,55.7064396,37.555497,0.02702702702702703
метро Верхние Лихоборы Москва,3,55.8581552,37.5582514,0.04054054054054054
метро Строгино Москва,2,55.8014462,37.4080551,0.02702702702702703
метро Отрадное Москва,11,55.8621789,37.6034629,0.14864864864864866
метро Кузьминки Москва,6,55.7053929,37.7686331,0.08108108108108109
метро Окская Москва,5,55.7192746,37.7804877,0.06756756756756757
метро Митино Москва,11,55.8462068,37.361556,0.14864864864864866
метро Академическая Москва,7,55.6858434,37.5779495,0.0945945945945946
метро Пролетарская Москва,15,55.7318006,37.6646276,0.20270270270270271
метро Беляево Москва,14,55.6438158,37.5268262,0.1891891891891892
метро Царицыно Москва,5,55.6207546,37.6714159,0.06756756756756757
метро Волхонка Москва,18,55.7456822,37.6048838,0.24324324324324326
метро Полежаевская Москва,5,55.7775839,37.5158677,0.06756756756756757
метро Войковская Москва,6,55.8182618,37.5002267,0.08108108108108109
метро Саларьево Москва,7,55.6216871,37.4219536,0.0945945945945946
метро Братиславская Москва,6,55.6584396,37.7501276,0.08108108108108109
метро Южная Москва,6,55.6217188,37.6069212,0.08108108108108109
метро Славянский бульвар Москва,5,55.7286399,37.4730584,0.06756756756756757
метро Свиблово Москва,3,55.8544192,37.6507987,0.04054054054054054
метро Университет Москва,16,55.6921354,37.534709,0.21621621621621623
метро Улица Старокачаловская Москва,3,55.5707256,37.5791576,0.04054054054054054
метро Электрозаводская Москва,21,55.7821919,37.7056997,0.28378378378378377
метро Ясенево Москва,9,55.6060181,37.535007,0.12162162162162163
метро Румянцево Москва,2,55.6328724,37.4440322,0.02702702702702703
метро Тропарёво Москва,2,55.6454593,37.4730121,0.02702702702702703
метро Орехово Москва,4,55.6143171,37.6942867,0.05405405405405406
метро Перово Москва,3,55.7502189,37.7849332,0.04054054054054054
метро Дубровка Москва,4,55.7180638,37.6763675,0.05405405405405406
метро Семёновская Москва,19,55.7823443,37.7217033,0.25675675675675674
метро Стахановская Москва,14,55.7274786,37.7497451,0.1891891891891892
метро Петровско-Разумовская Москва,4,55.8383543,37.5757944,0.05405405405405406
метро Тёплый стан Москва,9,55.618779,37.5059348,0.12162162162162163
метро Выхино Москва,3,55.7114187,37.8179427,0.04054054054054054
метро Кантемировская Москва,3,55.6377165,37.6515603,0.04054054054054054
метро Молодёжная Москва,8,55.7404711,37.4158665,0.10810810810810811
метро Владыкино Москва,2,55.8462348,37.5902597,0.02702702702702703
метро Хорошёвская Москва,6,55.7769876,37.5222375,0.08108108108108109
метро Зябликово Москва,0,55.6108885,37.744807,0.0
метро Красносельская Москва,11,55.7791382,37.6654331,0.14864864864864866
метро Чистые пруды Москва,46,55.7646433,37.6387583,0.6216216216216216
метро Лианозово Москва,5,55.8978527,37.5431482,0.06756756756756757
метро Проспект Вернадского Москва,7,55.6776985,37.5084496,0.0945945945945946
метро Бибирево Москва,7,55.8842901,37.6008285,0.0945945945945946
метро Речной вокзал Москва,7,55.8552304,37.4764352,0.0945945945945946
метро Люблино Москва,2,55.6769874,37.7616584,0.02702702702702703
метро Бутырская Москва,9,55.8127483,37.6039109,0.12162162162162163
метро Октябрьское поле Москва,16,55.7945317,37.4918721,0.21621621621621623
метро Новокузнецкая Москва,50,55.7422351,37.6286161,0.6756756756756757
метро Кутузовская Москва,14,55.739669,37.5342963,0.1891891891891892
метро Тушинская Москва,5,55.8266045,37.4374393,0.06756756756756757
метро Коломенская Москва,13,55.6772163,37.6621197,0.17567567567567569
метро Нагорная Москва,7,55.6719168,37.6100937,0.0945945945945946
метро Бунинская аллея Москва,0,55.5387272,37.5144055,0.0
метро Новоясеневская Москва,0,55.6016519,37.5526178,0.0
метро Бауманская Москва,36,55.7725578,37.6784261,0.4864864864864865
метро Бульвар Рокоссовского Москва,2,55.8152431,37.7327079,0.02702702702702703
метро Черкизовская Москва,2,55.8022647,37.7450015,0.02702702702702703
метро Коньково Москва,6,55.6346344,37.5194208,0.08108108108108109
метро Менделеевская Москва,74,55.7814062,37.598941,1.0
метро Улица Дмитриевского Москва,4,55.7120799,37.877937,0.05405405405405406
метро Раменки Москва,5,55.6959175,37.496185,0.06756756756756757
метро Баррикадная Москва,0,55.7604103,37.5807926,0.0
метро Багратионовская Москва,18,55.7430682,37.4986144,0.24324324324324326
метро Бабушкинская Москва,3,55.8682058,37.6634263,0.04054054054054054
метро Кропоткинская Москва,14,55.7441021,37.6017245,0.1891891891891892
метро Сухаревская Москва,24,55.7730842,37.6317157,0.32432432432432434
метро Красные ворота Москва,25,55.7696475,37.6509766,0.33783783783783783
метро Печатники Москва,3,55.6933633,37.7255503,0.04054054054054054
метро Рязанский проспект Москва,10,55.7174165,37.7933951,0.13513513513513514
метро Римская Москва,15,55.7456805,37.6813809,0.20270270270270271
метро Ленинский проспект Москва,9,55.7057941,37.5860739,0.12162162162162163
метро Чеховская Москва,30,55.7658919,37.6086031,0.40540540540540543
метро Щёлковская Москва,10,55.8085536,37.7988586,0.13513513513513514
метро Ховрино Москва,4,55.8783934,37.4799476,0.05405405405405406
метро Шелепиха Москва,0,55.7574333,37.5242972,0.0
метро Лихоборы Москва,12,55.8466431,37.5722694,0.16216216216216217
метро Хорошёво Москва,0,55.7481291,37.4603091,0.0
метро Соколиная Гора Москва,19,55.7823443,37.7217033,0.25675675675675674
метро Балтийская Москва,23,55.8070775,37.5123814,0.3108108108108108
метро Измайлово Москва,8,55.7866327,37.7512331,0.10810810810810811
метро Лужники Москва,4,55.7119793,37.5614883,0.05405405405405406
метро ЗИЛ Москва,4,55.695893,37.6426804,0.05405405405405406
метро Ростокино Москва,6,55.8437407,37.6366472,0.08108108108108109
метро Стрешнево Москва,7,55.8265621,37.4410984,0.0945945945945946
метро Петровский парк Москва,10,55.7929154,37.559067,0.13513513513513514
метро ЦСКА Москва,2,55.7868359,37.5373952,0.02702702702702703
метро Озёрная Москва,3,55.6704374,37.4489883,0.04054054054054054
метро Говорово Москва,4,55.660714,37.4175929,0.05405405405405406
метро Беломорская Москва,5,55.86532,37.4745,0.06756756756756757
метро Филатов луг Москва,0,55.6008543,37.4057239,0.0
метро Прокшино Москва,2,55.5874602,37.4321682,0.02702702702702703
метро Ольховая Москва,1,55.5690396,37.450809,0.013513513513513514
метро Новомосковская Москва,0,55.5602625,37.4658088,0.0
метро Лефортово Москва,3,55.7635577,37.7058318,0.04054054054054054
метро Зюзино Москва,6,55.6572207,37.5720517,0.08108108108108109
метро Народное Ополчение Москва,2,55.7757384,37.4861977,0.02702702702702703
метро Давыдково Москва,1,55.714618,37.4525092,0.013513513513513514
метро Аминьевская Москва,2,55.697109,37.4643653,0.02702702702702703
метро Новаторская Москва,4,55.6741892,37.5233344,0.05405405405405406
метро Варшавская Москва,5,55.6543529,37.6209553,0.06756756756756757
метро Кленовый бульвар Москва,0,55.6762511,37.6802911,0.0
метро Пыхтино Москва,0,55.6258258,37.2973199,0.0
метро Яхромская Москва,6,55.8779898,37.5441321,0.08108108108108109
метро Физтех Москва,0,55.919004,37.5431349,0.0
метро Потапово Москва,0,55.5519897,37.4932628,0.0
метро Университет Дружбы Народов Москва,13,55.6508308,37.5063684,0.17567567567567569
метро Генерала Тюленева Москва,1,55.6270154,37.4870284,0.013513513513513514
метро Тютчевская Москва,0,55.6209396,37.4800225,0.0
метро Коммунарка Москва,0,55.5739693,37.4681145,0.0
метро Корниловская Москва,0,55.600047,37.4831501,0.0
метро Вавиловская Москва,7,55.6841597,37.5392319,0.0945945945945946
